,StudentId,AssessmentGrade,GE-Grade,GE-Grade_MAX
1103,14658,5,0.54,1.2
1104,14658,6,0.8,0.8
1105,14659,5,-2.15,-1.8
1106,14659,6,-3.3,-3.3
1107,14660,5,-0.766666666667,0.4
1108,14660,6,-0.6,-0.6
1109,14661,5,-1.35,-0.4
1110,14661,6,-1.5,-1.4
1111,14662,5,-0.48,-0.2
1112,14662,6,-0.7,-0.7
1113,14663,5,-2.125,-1.3
1114,14663,6,-2.8,-2.8
1115,14664,5,-1.4,-0.9
1116,14664,6,-1.0,-1.0
1117,14665,5,-0.2,0.9
1118,14665,6,-0.8,-0.8
1119,14668,5,-2.16,-1.8
1120,14669,5,-1.58,-0.6
1121,14669,6,-2.6,-2.6
1122,14671,5,-0.533333333333,1.1
1123,14671,6,-1.8,-1.8
1124,14673,5,0.94,2.3
1125,14673,6,-0.2,-0.2
1126,14675,5,-0.35,1.4
1127,14675,6,-0.4,-0.4
1128,14676,5,-1.9,-1.4
1129,14677,5,0.66,1.5
1130,14677,6,1.1,1.1
1131,14678,5,0.42,1.3
1132,14678,6,1.0,1.0
1133,14679,5,0.86,2.0
1134,14679,6,0.2,0.2
1135,14680,5,-1.2,-0.1
1136,14680,6,-1.1,-1.1
1137,14681,5,-2.08,-1.6
1138,14681,6,-1.7,-1.7
1139,14682,5,0.88,1.8
1140,14682,6,1.3,1.3
1141,14685,5,-1.53333333333,-1.0
1142,14689,5,-0.2,0.8
1143,14689,6,-0.3,-0.3
1144,14690,5,-0.04,0.8
1145,14690,6,-1.0,-1.0
1146,14692,5,-1.8,-1.6
1147,14693,5,0.7,0.7
1148,14693,6,-0.9,-0.9
1149,14694,5,2.4,2.4
1150,14694,6,0.4,0.4
1151,14698,5,5.4,5.4
1152,14698,6,1.3,1.3
1153,14701,5,-0.775,-0.2
1154,14701,6,-0.2,-0.2
1155,14702,5,-2.2,-1.8
1156,14702,6,-2.6,-2.6
1157,14705,5,-0.26,0.6
1158,14705,6,-0.4,-0.4
1159,14710,5,-2.25,-1.9
1160,14710,6,-3.4,-3.4
1161,14714,5,-2.17142857143,-1.4
1162,14725,5,-0.866666666667,0.2
1163,14735,5,-2.26666666667,-1.1
1164,14735,6,-1.45,-0.9
1165,14737,5,-1.0,-0.6
1166,14737,6,-2.5,-2.5
1167,14738,5,-1.54,-0.3
1168,14738,6,-3.7,-3.7
1169,14748,5,-0.983333333333,0.6
1170,14748,6,-2.8,-2.8
1171,14749,5,-2.22,-1.9
1172,14750,5,-3.57142857143,-3.3
1173,14750,6,-5.0,-5.0
1174,14757,6,0.84,2.0
1175,14757,7,-0.7,-0.7
