,year,student_id,absence_rate,total
197,2015,14901,0.0705882352941,170
198,2016,15968,0.0,26
199,2014,11384,0.0581395348837,172
200,2014,11765,0.043956043956,182
201,2012,2869,0.214285714286,14
202,2016,16199,0.0,28
203,2015,12885,0.0248447204969,161
204,2015,3342,0.0342857142857,175
205,2015,7137,0.0120481927711,166
206,2016,13254,0.0769230769231,26
207,2013,11696,0.0928961748634,183
208,2015,12011,0.0697674418605,172
209,2015,14377,0.0114942528736,174
210,2015,12812,0.0,175
211,2013,11292,0.0218579234973,183
212,2013,3031,0.0333333333333,180
213,2015,14499,0.0,162
214,2015,11310,0.0,175
215,2016,14986,0.0,30
216,2016,14122,0.037037037037,27
217,2016,14625,0.0333333333333,30
218,2016,15699,0.0,29
219,2013,12038,0.0442477876106,113
220,2014,13393,0.00564971751412,177
221,2016,13663,0.0,29
222,2013,11863,0.051724137931,174
223,2014,11734,0.0511363636364,176
224,2012,3196,0.0,3
225,2016,12525,0.103448275862,29
226,2014,11833,0.174157303371,178
227,2014,13159,0.0722222222222,180
228,2014,13566,0.0204081632653,147
229,2012,3545,0.2,5
230,2016,13770,0.206896551724,29
231,2015,10982,0.0231213872832,173
232,2014,11234,0.0,174
233,2013,12023,0.0144927536232,138
234,2013,10265,0.0571428571429,175
235,2015,13569,0.00578034682081,173
236,2016,10348,0.0,30
237,2013,6957,0.0165745856354,181
238,2016,16665,0.0,29
239,2015,3947,0.0233918128655,171
240,2016,12030,0.0,30
241,2016,15653,0.0,29
242,2016,6459,0.0,29
243,2013,3148,0.051724137931,174
244,2016,14498,0.0344827586207,29
245,2014,3178,0.00571428571429,175
246,2016,12680,0.0,29
247,2013,6362,0.0,182
248,2013,6806,0.0223463687151,179
249,2016,16421,0.107142857143,28
250,2016,15533,0.0,28
251,2013,11502,0.00571428571429,175
252,2014,11360,0.0229885057471,174
253,2016,13052,0.0,27
254,2015,15215,0.102040816327,147
255,2016,7169,0.107142857143,28
256,2012,7119,0.0,1
257,2012,3088,0.0,1
258,2013,2774,0.0112359550562,178
259,2014,13087,0.00540540540541,185
260,2012,3550,0.0,2
261,2016,12380,0.0,30
262,2014,7023,0.0165745856354,181
263,2015,6574,0.0609756097561,164
264,2015,12363,0.0473372781065,169
265,2016,12685,0.037037037037,27
266,2014,12819,0.0285714285714,175
267,2016,13240,0.0,28
268,2014,11768,0.0769230769231,117
269,2014,10511,0.125683060109,183
270,2016,16364,0.0344827586207,29
271,2016,11211,0.0,29
272,2012,6798,0.147058823529,34
273,2013,3028,0.0340909090909,176
274,2015,14872,0.0,174
275,2015,3538,0.028901734104,173
276,2013,10226,0.0,177
277,2015,12897,0.00574712643678,174
278,2014,6498,0.016393442623,183
279,2016,15948,0.0,28
280,2012,6444,0.928571428571,14
281,2013,11689,0.209150326797,153
282,2012,6880,0.1,10
283,2016,15487,0.0344827586207,29
284,2013,2434,0.00584795321637,171
285,2013,3505,0.0344827586207,174
286,2015,12687,0.00581395348837,172
287,2013,6746,0.0397727272727,176
288,2013,3303,0.0391061452514,179
289,2013,11788,0.0181818181818,55
290,2016,10855,0.0,29
291,2015,14433,0.00595238095238,168
292,2014,11719,0.0751445086705,173
293,2014,12687,0.0,175
294,2015,15236,0.016,125
295,2016,14919,0.0,29
296,2016,11367,0.0,29
297,2013,11805,0.0177514792899,169
298,2012,3970,0.047619047619,42
299,2014,12656,0.0,183
300,2015,14699,0.00606060606061,165
301,2014,12855,0.0,181
302,2014,6451,0.0165745856354,181
303,2016,15822,0.0,28
304,2012,7136,0.0,1
305,2013,10987,0.0,181
306,2014,3094,0.00571428571429,175
307,2013,7145,0.00564971751412,177
308,2013,3928,0.0111111111111,180
309,2016,6463,0.0,29
310,2016,14828,0.0,30
311,2016,11552,0.0,29
312,2013,6835,0.0,182
313,2015,6601,0.0,178
314,2016,13316,0.0,30
315,2016,16127,0.0,29
316,2016,11270,0.0,27
317,2013,10178,0.00588235294118,170
318,2013,6919,0.0,171
