ID,ISDELETED,NAME,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,LASTACTIVITYDATE,LASTVIEWEDDATE,LASTREFERENCEDDATE,STUDENT__C,SCHOOL__C,ACTUAL_END_DATE__C,STARTINGGRADE__C,ENDINGGRADE__C,LIVING_ON_CAMPUS__C,DATE_LAST_VERIFIED__C,HIGHEST_SAT_SCORE__C,SOURCE__C,NOTES__C,PURSUING_DEGREE_TYPE__C,START_DATE__C,STATUS__C,TRANSFER_REASON__C,TYPE__C,MAJOR_AREA__C,STUDENT_HS_COHORT__C,NUMBER_OF_MARKING_PERIODS__C,ANTICIPATED_GRADUATION__C,FINAL_GPA__C,GRAD_YEAR__C,MAJOR__C,COLLEGE_MAJOR_DECLARED__C,OTHER_MAJOR__C,NSC_VERIFIED__C,DUAL_ENROLLMENT__C,CLASS_RANK_PERCENTILE__C
a08C000000AybnUIAR,FALSE,,2011-05-25T16:45:23.000Z,00580000003U38uAAC,2013-10-28T19:54:58.000Z,005C0000005hqx2IAA,2013-10-28T19:54:59.000Z,,,,00380000010UhplAAC,0018000000kxhm2AAA,,,,FALSE,10/28/2013,0,Salesforce,CS verified via Calpads.,High School Diploma,5/25/2011,Attending,,High School,,2015,2,,,,,FALSE,,FALSE,FALSE,
a08C000000AyciYIAR,FALSE,,2011-05-26T16:37:33.000Z,00580000003U38uAAC,2013-10-11T20:54:56.000Z,005C0000005hqx2IAA,2013-10-11T20:54:56.000Z,,,,00380000010UhpkAAC,0018000000kxhm2AAA,8/24/2012,,,FALSE,,0,,CS verified on Calpads,High School Diploma,8/15/2011,Transferred out,,High School,,2015,2,,,,,FALSE,,FALSE,FALSE,
a08C000000B0mNyIAJ,FALSE,,2011-09-01T21:47:07.000Z,005C0000003sZiUIAU,2015-09-09T18:36:24.000Z,005C0000009hQUAIA2,2015-09-09T18:36:24.000Z,,,,00380000010UhpiAAC,0018000000kxhm2AAA,6/30/2015,,,FALSE,9/9/2015,0,Salesforce,CS verified via Calpads.,High School Diploma,8/15/2011,Graduated,,High School,,2015,2,,,,,FALSE,,FALSE,FALSE,
a08C000000AycO0IAJ,FALSE,,2011-05-25T21:51:49.000Z,00580000003U38uAAC,2015-09-25T22:31:15.000Z,005C00000061uWhIAI,2015-09-25T22:31:15.000Z,,,,00380000010UhphAAC,0018000000kxhm2AAA,6/30/2015,,,FALSE,9/17/2015,0,Salesforce,CS verified via Calpads.,High School Diploma,9/7/2011,Graduated,,High School,,2015,2,,,,,FALSE,,FALSE,FALSE,
a08C000000AydJiIAJ,FALSE,,2011-05-26T22:18:59.000Z,00580000003U38uAAC,2013-10-29T21:28:33.000Z,005C0000005hqx2IAA,2013-10-29T21:28:33.000Z,,,,00380000010UhpdAAC,0018000000kxhm2AAA,8/6/2013,,,FALSE,10/29/2013,0,Salesforce,CS verified via Calpads.,High School Diploma,8/15/2011,Transferred out,,High School,,2015,2,,,,,FALSE,,FALSE,FALSE,
a08C000000B0mLJIAZ,FALSE,,2011-09-01T21:09:51.000Z,005C0000003sZiUIAU,2015-07-22T23:23:34.000Z,005C0000006wSJzIAM,2015-07-22T23:23:34.000Z,,,,00380000010UhpcAAC,0018000000kxhm2AAA,6/17/2015,,,FALSE,7/22/2015,0,Salesforce,CS verified via Calpads.,High School Diploma,8/15/2011,Graduated,,High School,,2015,2,,,,,FALSE,,FALSE,FALSE,
a08C000000AydIvIAJ,FALSE,,2011-05-26T22:17:29.000Z,00580000003U38uAAC,2015-07-09T17:15:35.000Z,005C0000006wSJzIAM,2015-07-09T17:15:35.000Z,,,,00380000010UhpaAAC,0018000000kxhm2AAA,6/30/2015,,,FALSE,7/8/2015,0,Salesforce,CS verified via Calpads.,High School Diploma,8/15/2011,Graduated,,High School,,2015,2,,,,,FALSE,,FALSE,FALSE,
a08C000000AydIzIAJ,FALSE,,2011-05-26T22:12:38.000Z,00580000003U38uAAC,2015-09-09T16:40:45.000Z,005C0000009hQUAIA2,2015-09-09T16:40:45.000Z,,,,00380000010UhpZAAS,0018000000kxhm2AAA,6/30/2015,,,FALSE,9/9/2015,0,Salesforce,CS verified via Calpads.,High School Diploma,8/15/2011,Graduated,,High School,,2015,2,,,,,FALSE,,FALSE,FALSE,
a08C000000HTCEuIAP,FALSE,,2012-08-21T22:36:27.000Z,005C0000003uCvjIAE,2015-04-22T00:25:25.000Z,005C0000003uCviIAE,2015-04-22T00:25:25.000Z,,,,00380000010UhpYAAS,0018000000kxhm2AAA,9/5/2014,,,FALSE,8/21/2012,0,Salesforce,,High School Diploma,8/6/2012,Transferred out,,High School,,2016,2,,,,,FALSE,,FALSE,FALSE,
a08C000000B0mKKIAZ,FALSE,,2011-09-01T20:38:30.000Z,005C0000003sZiUIAU,2015-09-25T17:28:59.000Z,005C00000061uWhIAI,2015-09-25T17:28:59.000Z,,,,00380000010UhpTAAS,0018000000kxhm2AAA,6/30/2015,,,FALSE,9/9/2015,0,Salesforce,CS verified via Calpads.,High School Diploma,9/1/2011,Graduated,,High School,,2015,2,,,,,FALSE,,FALSE,FALSE,
a0880000008yfwxAAA,FALSE,,2010-09-14T20:30:42.000Z,00580000003U34WAAS,2014-08-28T22:10:50.000Z,005C0000003teDhIAI,2014-08-28T22:10:50.000Z,,,,00380000010UhnYAAS,0018000000kxhm2AAA,6/30/2014,9,,FALSE,8/28/2014,0,Salesforce,,High School Diploma,9/1/2010,Graduated,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a0880000008yfwwAAA,FALSE,,2010-09-14T20:30:42.000Z,00580000003U34WAAS,2013-02-28T20:11:42.000Z,005C0000003sZiUIAU,2013-02-28T20:11:42.000Z,,,,00380000010UhnXAAS,0018000000kxhm2AAA,6/29/2012,9,,FALSE,,0,Salesforce,,High School Diploma,9/1/2010,Transferred out,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a08C000000HTIPtIAP,FALSE,,2012-08-30T22:59:47.000Z,005C0000003sZiUIAU,2013-10-28T22:24:39.000Z,005C0000003CMzbIAG,2013-10-28T22:24:39.000Z,,2013-02-26T22:00:23.000Z,2013-02-26T22:00:23.000Z,00380000010UhnVAAS,0018000000kxhm2AAA,11/29/2012,,,FALSE,8/30/2012,0,Salesforce,,High School Diploma,8/6/2012,Transferred out,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a0880000008yfwuAAA,FALSE,,2010-09-14T20:30:42.000Z,00580000003U34WAAS,2013-10-28T22:24:38.000Z,005C0000003CMzbIAG,2013-10-28T22:24:38.000Z,,2013-02-26T21:58:41.000Z,2013-02-26T21:58:41.000Z,00380000010UhnVAAS,0018000000kxhm2AAA,3/22/2011,9,,FALSE,,0,Salesforce,Student was asked to leave.,High School Diploma,8/30/2010,Transferred out,Other,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a0880000008yfwsAAA,FALSE,,2010-09-14T20:30:42.000Z,00580000003U34WAAS,2014-08-11T19:06:08.000Z,005C0000006wSJzIAM,2014-08-11T19:06:08.000Z,,,,00380000010UhnTAAS,0018000000kxhm2AAA,6/30/2014,9,,FALSE,8/11/2014,0,Salesforce,,High School Diploma,9/1/2010,Graduated,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a08C000000B1XjSIAV,FALSE,,2011-10-25T06:27:14.000Z,005C0000003CDalIAG,2013-10-28T22:24:38.000Z,005C0000003CMzbIAG,2013-10-28T22:24:38.000Z,,,,00380000010UhnSAAS,0018000000kxhm2AAA,1/27/2012,10,,FALSE,10/24/2011,0,Salesforce,,High School Diploma,8/15/2011,Transferred out,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a0880000008yfwoAAA,FALSE,,2010-09-14T20:30:42.000Z,00580000003U34WAAS,2014-08-19T19:38:17.000Z,005C0000005imTgIAI,2014-08-19T19:38:17.000Z,,,,00380000010UhnOAAS,0018000000kxhm2AAA,6/30/2014,9,,FALSE,,0,Salesforce,,High School Diploma,9/1/2010,Graduated,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a0880000008yfwmAAA,FALSE,,2010-09-14T20:30:42.000Z,00580000003U34WAAS,2014-08-19T22:18:32.000Z,005C0000004gIFSIA2,2014-08-19T22:18:32.000Z,,,,00380000010UhnMAAS,0018000000kxhm2AAA,6/30/2014,9,,FALSE,,0,Salesforce,,High School Diploma,9/1/2010,Graduated,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
