student_id,present_2012,present_2013,present_2014,present_2015,present_2016,excusedabsent_2012,excusedabsent_2013,excusedabsent_2014,excusedabsent_2015,excusedabsent_2016,excusedtardy_2012,excusedtardy_2013,excusedtardy_2014,excusedtardy_2015,excusedtardy_2016,absent_2012,absent_2013,absent_2014,absent_2015,absent_2016,tardy_2012,tardy_2013,tardy_2014,tardy_2015,tardy_2016,truant_2012,truant_2013,truant_2014,truant_2015,truant_2016,inschoolsuspension_2012,inschoolsuspension_2013,inschoolsuspension_2014,inschoolsuspension_2015,inschoolsuspension_2016,suspended_2012,suspended_2013,suspended_2014,suspended_2015,suspended_2016
10245,NA,163,130,142,26,NA,0,0,0,0,NA,0,0,0,0,NA,6,3,1,0,NA,8,40,30,1,NA,2,1,1,0,NA,0,0,0,0,NA,0,0,0,0
10252,NA,113,154,135,23,NA,0,0,0,0,NA,0,0,0,0,NA,8,7,9,5,NA,61,15,4,1,NA,2,0,2,0,NA,0,0,0,0,NA,0,0,0,0
10256,NA,168,177,169,29,NA,0,0,0,0,NA,0,0,0,0,NA,1,2,2,0,NA,7,2,2,0,NA,2,1,0,0,NA,0,0,0,0,NA,0,0,0,0
10260,NA,165,41,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,2,3,NA,NA,NA,12,57,NA,NA,NA,1,1,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA
10261,NA,NA,NA,NA,29,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0
10262,NA,NA,178,169,29,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,2,0,NA,NA,7,3,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,1,0
10263,NA,NA,181,170,29,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,1,0,NA,NA,1,1,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0
10265,NA,163,150,159,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,10,17,10,NA,NA,2,6,5,NA,NA,0,1,0,NA,NA,0,0,0,NA,NA,0,1,0,NA
10271,NA,132,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA,34,NA,NA,NA,NA,14,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA
10272,NA,162,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA
10273,NA,167,165,162,26,NA,0,0,0,0,NA,0,0,0,0,NA,2,6,13,3,NA,3,0,0,0,NA,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10274,NA,164,168,151,23,NA,0,0,0,0,NA,0,0,0,0,NA,1,3,0,2,NA,1,3,6,4,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10276,NA,156,90,140,11,NA,0,0,0,0,NA,0,0,0,0,NA,4,3,1,0,NA,22,76,27,16,NA,0,5,3,1,NA,0,0,0,0,NA,0,0,0,0
10281,NA,103,135,68,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,10,8,5,NA,NA,42,12,14,NA,NA,12,13,74,NA,NA,2,0,0,NA,NA,0,1,0,NA
10282,NA,148,14,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,11,4,NA,NA,NA,22,1,NA,NA,NA,1,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA
10286,NA,NA,182,165,29,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,2,0,NA,NA,0,0,0,NA,NA,0,2,0,NA,NA,0,0,0,NA,NA,0,0,0
10288,NA,170,165,168,28,NA,0,0,0,0,NA,0,0,0,0,NA,0,3,1,0,NA,5,7,4,1,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10292,NA,171,168,148,26,NA,0,0,0,0,NA,0,0,1,0,NA,4,7,23,1,NA,7,8,6,1,NA,0,0,1,0,NA,0,0,0,0,NA,0,0,0,0
10293,NA,168,179,170,28,NA,0,0,0,0,NA,0,0,0,0,NA,1,1,3,0,NA,0,0,0,1,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10296,NA,171,168,164,28,NA,0,0,0,0,NA,0,0,0,0,NA,2,1,0,1,NA,2,6,11,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10300,NA,173,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,8,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA
10301,NA,161,115,151,24,NA,0,0,0,0,NA,0,0,0,0,NA,6,5,2,0,NA,5,44,5,2,NA,0,8,0,0,NA,0,0,0,0,NA,0,0,0,0
10302,NA,170,167,172,27,NA,0,0,0,0,NA,0,0,0,0,NA,0,1,0,0,NA,4,7,2,1,NA,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10304,NA,115,111,98,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,13,16,5,NA,NA,24,24,27,NA,NA,26,28,39,NA,NA,0,0,0,NA,NA,0,0,0,NA
10307,NA,77,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,9,NA,NA,NA,NA,5,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA
10309,NA,170,178,151,25,NA,0,0,0,0,NA,0,1,0,0,NA,2,1,1,0,NA,8,2,16,1,NA,2,1,1,1,NA,0,0,0,0,NA,0,0,0,0
10310,NA,40,114,13,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,22,27,14,NA,NA,70,24,23,NA,NA,42,8,33,NA,NA,0,0,0,NA,NA,0,0,0,NA
10315,NA,184,183,170,29,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,1,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10321,NA,170,180,169,27,NA,0,0,0,0,NA,0,1,0,0,NA,0,0,2,0,NA,0,0,1,1,NA,0,0,1,0,NA,0,0,0,0,NA,0,0,0,0
10328,NA,144,159,153,27,NA,0,0,0,0,NA,0,0,0,0,NA,4,1,4,1,NA,26,10,14,1,NA,1,5,4,0,NA,0,0,0,0,NA,0,0,0,0
10330,NA,165,173,168,20,NA,0,0,0,0,NA,0,0,0,0,NA,3,1,4,1,NA,6,0,1,6,NA,1,0,0,1,NA,0,0,0,0,NA,0,0,1,0
10333,NA,175,175,175,28,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10338,NA,178,169,139,22,NA,0,0,0,0,NA,0,2,0,0,NA,3,6,1,0,NA,0,6,19,5,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10339,NA,180,170,148,23,NA,0,0,0,0,NA,2,2,0,0,NA,2,1,3,0,NA,0,10,13,3,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10341,NA,175,85,NA,28,NA,0,0,NA,0,NA,0,0,NA,0,NA,5,0,NA,0,NA,1,2,NA,0,NA,1,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0
10344,NA,176,166,162,23,NA,0,0,0,0,NA,0,2,2,0,NA,2,1,3,3,NA,1,3,1,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
